,overall
86759,67
3553,69
46224,79
79200,82
63205,78
40866,62
34744,69
76227,59
102517,68
95756,52
44393,55
17243,73
85944,68
33970,70
40896,62
1486,73
130220,57
17627,72
51409,69
72239,65
61,84
73162,64
67026,70
67832,69
10825,60
119069,70
100989,70
68982,68
101164,70
47434,75
77041,57
2640,70
32210,73
60875,56
131072,54
38740,65
17040,73
107106,64
8474,62
58371,61
109889,61
6328,65
88961,65
127965,61
9751,61
106347,64
114711,78
62005,52
117575,72
35180,69
110995,59
116637,73
73870,63
121111,67
59410,60
88501,65
24616,62
87091,66
88291,65
77428,56
69148,68
18118,71
34201,70
28398,55
94725,56
62575,83
6769,64
20965,67
131442,53
115114,77
49300,71
28270,55
11678,58
39669,64
37238,66
123171,65
35150,69
129593,58
124552,64
37247,66
46424,78
122276,66
95792,51
68803,68
127046,62
79874,77
93582,59
77286,57
96049,49
78026,54
45890,82
128438,60
46868,76
36312,67
85425,68
27554,57
104078,66
130252,57
53529,67
122088,67
57933,62
5092,66
61462,55
94763,56
113898,50
127859,61
96662,79
68482,68
8682,62
37439,66
45885,82
59115,60
21494,66
100494,70
102577,68
93118,60
3477,69
42264,60
78404,52
28047,56
88939,65
74205,62
119331,69
29317,48
102237,68
85771,68
